run 1000ns
q=0000 clk=0 rst=0
q=1000 clk=1 rst=0
q=1000 clk=0 rst=0
q=1100 clk=1 rst=0
q=1100 clk=0 rst=0
q=1110 clk=1 rst=0
q=1110 clk=0 rst=0
q=1111 clk=1 rst=0
q=1111 clk=0 rst=0
q=0111 clk=1 rst=0
q=0111 clk=0 rst=0
q=0011 clk=1 rst=0
q=0011 clk=0 rst=0
q=0001 clk=1 rst=0
q=0001 clk=0 rst=0
q=0000 clk=1 rst=0
q=0000 clk=0 rst=0
q=1000 clk=1 rst=0
q=1000 clk=0 rst=0
q=1100 clk=1 rst=0
q=1100 clk=0 rst=0
q=1110 clk=1 rst=0
q=1110 clk=0 rst=0
q=1111 clk=1 rst=0
q=1111 clk=0 rst=0
q=0111 clk=1 rst=0
q=0111 clk=0 rst=0
q=0011 clk=1 rst=0
q=0011 clk=0 rst=0
q=0001 clk=1 rst=0
q=0001 clk=0 rst=0
q=0000 clk=1 rst=0
q=0000 clk=0 rst=0
q=1000 clk=1 rst=0
q=1000 clk=0 rst=0
q=1100 clk=1 rst=0
q=1100 clk=0 rst=0
q=1110 clk=1 rst=0
q=1110 clk=0 rst=0
