do run_regr.do
# QuestaSim-64 vlog 10.7c Compiler 2018.08 Aug 18 2018
# Start time: 22:15:04 on Nov 24,2024
# vlog -reportprogress 300 top.sv 
# -- Compiling package top_sv_unit
# -- Compiling module memory
# -- Compiling module assertions
# -- Compiling interface mem_intf
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 22:15:04 on Nov 24,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 10.7c Compiler 2018.08 Aug 18 2018
# Start time: 22:15:04 on Nov 24,2024
# vopt -reportprogress 300 top "+cover=fcbest" -o n_wr_rd_test 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading interface mem_intf
# -- Loading module memory
# -- Loading module assertions
# ** Warning: top.sv(25): (vopt-2241) Connection width does not match width of port 'addr_i'. The port definition is at: memory.sv(1).
# ** Warning: top.sv(25): (vopt-2241) Connection width does not match width of port 'wdata_i'. The port definition is at: memory.sv(1).
# ** Warning: top.sv(25): (vopt-2241) Connection width does not match width of port 'rdata_o'. The port definition is at: memory.sv(1).
# Incremental compilation check found no design-units have changed.
# Optimized design name is n_wr_rd_test
# End time: 22:15:04 on Nov 24,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 3
# file1d3738b0
# End time: 22:15:05 on Nov 24,2024, Elapsed time: 0:00:34
# Errors: 3, Warnings: 1
# vsim -coverage n_wr_rd_test "+testname=wr_rd_test" "+num_tx=30" "+num_agents=2" -novopt -suppress 12110 
# Start time: 22:15:05 on Nov 24,2024
# ** Warning: (vsim-8891) -novopt option has no effect when used with the optimized design. -novopt option is now deprecated and will be removed in future releases.
# Loading sv_std.std
# Loading work.top_sv_unit(fast)
# Loading work.top(fast)
# Loading work.mem_intf(fast)
# num_agents=2
# num_tx=30
# gen from agent[0]
# bfm from agent[0]
# mon from agent[0]
# cov from agent[0]
# gen from agent[1]
# bfm from agent[1]
# mon from agent[1]
# cov from agent[1]
# i=0
# from bfm 15 
# 
# 
# mon from agent[0]
# executing monitor on memory
# cov from agent[0]
# executing coverage functionality at 15
# i=1
# from bfm 15 
# 
# 
# mon from agent[1]
# executing monitor on memory
# cov from agent[1]
# executing coverage functionality at 15
# from bfm 25 
# 
# 
# valid tx detected 25
# valid tx detected 25
# -----------------printing write agent---------------
# 	 count=1 
# 	 addr=12160
# 	 data=927591996
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=2 
# 	 addr=12160
# 	 data=927591996
# 	 wr_rd=1 
# from bfm 45 
# 
# 
# valid tx detected 45
# valid tx detected 45
# -----------------printing  read agent---------------
# 	 count=3 
# 	 addr=12160
# 	 data=60988
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=4 
# 	 addr=12160
# 	 data=60988
# 	 wr_rd=0 
# valid tx detected 65
# valid tx detected 65
# -----------------printing write agent---------------
# 	 count=5 
# 	 addr=2217
# 	 data=2384979111
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=6 
# 	 addr=2217
# 	 data=2384979111
# 	 wr_rd=1 
# valid tx detected 85
# valid tx detected 85
# -----------------printing  read agent---------------
# 	 count=7 
# 	 addr=2217
# 	 data=58535
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=8 
# 	 addr=2217
# 	 data=58535
# 	 wr_rd=0 
# ** Note: $finish    : top.sv(78)
#    Time: 105 ns  Iteration: 1  Instance: /top
# 1
# Break in Module top at top.sv line 78
# End time: 22:15:11 on Nov 24,2024, Elapsed time: 0:00:06
# Errors: 0, Warnings: 1
# vsim -coverage n_wr_rd_test "+testname=n_wr_rd_test" "+num_tx=30" "+num_agents=2" -novopt -suppress 12110 
# Start time: 22:15:12 on Nov 24,2024
# ** Warning: (vsim-8891) -novopt option has no effect when used with the optimized design. -novopt option is now deprecated and will be removed in future releases.
# Loading sv_std.std
# Loading work.top_sv_unit(fast)
# Loading work.top(fast)
# Loading work.mem_intf(fast)
# num_agents=2
# num_tx=30
# gen from agent[0]
# bfm from agent[0]
# mon from agent[0]
# cov from agent[0]
# gen from agent[1]
# bfm from agent[1]
# mon from agent[1]
# cov from agent[1]
# i=0
# from bfm 15 
# 
# 
# mon from agent[0]
# executing monitor on memory
# cov from agent[0]
# executing coverage functionality at 15
# i=1
# from bfm 15 
# 
# 
# mon from agent[1]
# executing monitor on memory
# cov from agent[1]
# executing coverage functionality at 15
# from bfm 25 
# 
# 
# valid tx detected 25
# valid tx detected 25
# -----------------printing write agent---------------
# 	 count=1 
# 	 addr=12160
# 	 data=927591996
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=2 
# 	 addr=12160
# 	 data=927591996
# 	 wr_rd=1 
# from bfm 45 
# 
# 
# valid tx detected 45
# valid tx detected 45
# -----------------printing  read agent---------------
# 	 count=3 
# 	 addr=12160
# 	 data=60988
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=4 
# 	 addr=12160
# 	 data=60988
# 	 wr_rd=0 
# from bfm 65 
# 
# 
# valid tx detected 65
# valid tx detected 65
# -----------------printing write agent---------------
# 	 count=5 
# 	 addr=49869
# 	 data=1841119507
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=6 
# 	 addr=49869
# 	 data=1841119507
# 	 wr_rd=1 
# from bfm 85 
# 
# 
# valid tx detected 85
# valid tx detected 85
# -----------------printing  read agent---------------
# 	 count=7 
# 	 addr=49869
# 	 data=16659
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=8 
# 	 addr=49869
# 	 data=16659
# 	 wr_rd=0 
# from bfm 105 
# 
# 
# valid tx detected 105
# valid tx detected 105
# -----------------printing write agent---------------
# 	 count=9 
# 	 addr=8629
# 	 data=1826442637
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=10 
# 	 addr=8629
# 	 data=1826442637
# 	 wr_rd=1 
# from bfm 125 
# 
# 
# valid tx detected 125
# valid tx detected 125
# -----------------printing  read agent---------------
# 	 count=11 
# 	 addr=8629
# 	 data=19853
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=12 
# 	 addr=8629
# 	 data=19853
# 	 wr_rd=0 
# from bfm 145 
# 
# 
# valid tx detected 145
# valid tx detected 145
# -----------------printing write agent---------------
# 	 count=13 
# 	 addr=33790
# 	 data=4005147256
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=14 
# 	 addr=33790
# 	 data=4005147256
# 	 wr_rd=1 
# from bfm 165 
# 
# 
# valid tx detected 165
# valid tx detected 165
# -----------------printing  read agent---------------
# 	 count=15 
# 	 addr=33790
# 	 data=45688
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=16 
# 	 addr=33790
# 	 data=45688
# 	 wr_rd=0 
# from bfm 185 
# 
# 
# valid tx detected 185
# valid tx detected 185
# -----------------printing write agent---------------
# 	 count=17 
# 	 addr=58876
# 	 data=2121816173
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=18 
